seller_id,total_orders,canceled_orders,cancel_rate_pct,late_deliveries,late_rate_pct
ede0c03645598cdfc63ca8237acbe73d,46,1,2.17,16,34.04
54965bbe3e4f07ae045b90b0b8541f52,78,0,0.0,26,32.1
ad781527c93d00d89a11eecd9dcad7c1,44,1,2.27,12,31.58
835f0f7810c76831d6c7d24c7a646d4d,44,1,2.27,15,31.25
2a1348e9addc1af5aaa619b1a3679d6b,52,1,1.92,15,29.41
66e0557ecc2b4dbea057e93f215f68d8,31,1,3.23,8,26.67
71039d19d4303bf9054d69e9a9236699,35,0,0.0,10,26.32
6039e27294dc75811c0d8a39069f52c0,64,0,0.0,19,25.68
ef990a83bbea832f36ebe81376335aa8,43,0,0.0,11,25.0
a49928bcdf77c55c6d6e05e09a9b4ca5,98,0,0.0,26,25.0
602044f2c16190c2c6e45eb35c2e21cb,50,0,0.0,13,23.64
06a2c3af7b3aee5d69171b0e14f0ee87,392,0,0.0,95,23.63
beadbee30901a7f61d031b6b686095ad,64,0,0.0,16,23.53
cac4c8e7b1ca6252d8f20b2fc1a2e4af,75,0,0.0,19,23.17
ea566164622c6b439516ab18062c42cd,50,0,0.0,12,23.08
99a54764c341d5dc80b4a8fac4eba3fb,45,0,0.0,15,22.73
bbad7e518d7af88a0897397ffdca1979,69,0,0.0,19,22.62
6ec1a01e866584bb679eb9b098345919,31,0,0.0,7,22.58
2a261b5b644fa05f4f2700eb93544f2c,51,0,0.0,18,21.95
712e6ed8aa4aa1fa65dab41fed5737e4,79,0,0.0,18,21.18
